Tarahana,Mahapur B.O,752002,Gop,PURI,ODISHA
Uttarakona,Talajanga B.O,752002,Sadar,PURI,ODISHA
Alisi,Bantaligram B.O,752002,Gop,PURI,ODISHA
Bantaligan,Bantaligram B.O,752002,Gop,PURI,ODISHA
Batagan,Biraharekrushnapur B.O,752002,Sadar,PURI,ODISHA
Batulibhuan,Baliguali B.O,752002,Sadar,PURI,ODISHA
Biraharekrishnapur,Biraharekrushnapur B.O,752002,Sadar,PURI,ODISHA
Chatabarai,Badagaon B.O,752002,Gop,PURI,ODISHA
Chhaitana,Chhaitana B.O,752002,Sadar,PURI,ODISHA
gadibrahma,Khadipada B.O,752002,Brahmagiri,PURI,ODISHA
Gaindol,Chhaitana B.O,752002,Sadar,PURI,ODISHA
Jagannathballava,Biraharekrushnapur B.O,752002,Chandanpur,PURI,ODISHA
Karpuraharichandanpur,Sasana Damodarpur B.O,752002,Sadar,PURI,ODISHA
Kasiharipur,Khadipada B.O,752002,Sadar,PURI,ODISHA
Kurujanga,Bantaligram B.O,752002,Gop,PURI,ODISHA
Mahapur,Mahapur B.O,752002,Gop,PURI,ODISHA
Nakhisahi,Chhaitana B.O,752002,Sadar,PURI,ODISHA
Narasinghpatana,Sasana Damodarpur B.O,752002,Sadar,PURI,ODISHA
Parichadhei,Bantaligram B.O,752002,Gop,PURI,ODISHA
Podatara,Chhaitana B.O,752002,Gop,PURI,ODISHA
Rusipada,Baniasahi B.O,752002,Sadar,PURI,ODISHA
Sagena,Mahapur B.O,752002,Gop,PURI,ODISHA
Sunamuhin,Gorual B.O,752002,Sadar,PURI,ODISHA
Talajanga,Talajanga B.O,752002,Chandanpur,PURI,ODISHA
Thorab,Garhbhingura B.O,752002,Sadar,PURI,ODISHA
Torana,Gorual B.O,752002,Sadar,PURI,ODISHA
Alatunga,Baliguali B.O,752002,Sadar,PURI,ODISHA
Badagan,Badagaon B.O,752002,Gop,PURI,ODISHA
Chadheigan,Bantaligram B.O,752002,Gop,PURI,ODISHA
Chakrabarti,Biraharekrushnapur B.O,752002,Sadar,PURI,ODISHA
Damodarpursasana,Sasana Damodarpur B.O,752002,Sadar,PURI,ODISHA
Dubutara,Chhaitana B.O,752002,Gop,PURI,ODISHA
Itibhuan,Chhaitana B.O,752002,Gop,PURI,ODISHA
Kabirajapur,Chhaitana B.O,752002,Gop,PURI,ODISHA
Sankarpur,Khadipada B.O,752002,Sadar,PURI,ODISHA
Sasandamodarpur,Puri Station Road S.O,752002,Sadar,PURI,ODISHA
Sereikona,Gopinathpur B.O,752002,Sadar,PURI,ODISHA
