Mummarampet,Tirukkanur S.O,605501,Mannadipet Commune Panchayat,PONDICHERRY,PONDICHERRY
Sorapet,Tirukkanur S.O,605501,Villianur Commune Panchayat,PONDICHERRY,PONDICHERRY
Kodukkur,Tirukkanur S.O,605501,Mannadipet Commune Panchayat,PONDICHERRY,PONDICHERRY
Vinayagampet,Tirukkanur S.O,605501,Villianur Commune Panchayat,PONDICHERRY,PONDICHERRY
Kurampalayam,Tirukkanur S.O,605501,Villianur Commune Panchayat,PONDICHERRY,PONDICHERRY
Mannadipet,Mannadipattu B.O,605501,Mannadipet Commune Panchayat,PONDICHERRY,PONDICHERRY
Sellipattu,Sellipet B.O,605501,Mannadipet Commune Panchayat,PONDICHERRY,PONDICHERRY
Sellipet,Tirukkanur S.O,605501,Villianur Commune Panchayat,PONDICHERRY,PONDICHERRY
Vadanur,Tirukkanur S.O,605501,Villianur Commune Panchayat,PONDICHERRY,PONDICHERRY
Mannadipet,Tirukkanur S.O,605501,Mannadipet Commune Panchayat,PONDICHERRY,PONDICHERRY
Navapalayam,Tirukkanur S.O,605501,Mannadipet Commune Panchayat,PONDICHERRY,PONDICHERRY
Sorapet,Sorapattu B.O,605501,Mannadipet Commune Panchayat,PONDICHERRY,PONDICHERRY
Koodapakkam,Coudapakkam B.O,605502,Villianur Commune Panchayat,PONDICHERRY,PONDICHERRY
Kuppam,Katterikuppam B.O,605502,Mannadipet Commune Panchayat,PONDICHERRY,PONDICHERRY
Karasur,Kadaperikuppam B.O,605502,Villianur Commune Panchayat,PONDICHERRY,PONDICHERRY
Katteri,Katterikuppam B.O,605502,Mannadipet Commune Panchayat,PONDICHERRY,PONDICHERRY
Suthukeny,Suthukeni B.O,605502,Mannadipet Commune Panchayat,PONDICHERRY,PONDICHERRY
Thuthipet,Kadaperikuppam B.O,605502,Villianur Commune Panchayat,PONDICHERRY,PONDICHERRY
Pillaiyarkuppam,Thondamanatham B.O,605502,Villianur Commune Panchayat,PONDICHERRY,PONDICHERRY
Thondamanatham,Thondamanatham B.O,605502,Villianur Commune Panchayat,PONDICHERRY,PONDICHERRY
Thethampakkam,Suthukeni B.O,605502,Mannadipet Commune Panchayat,PONDICHERRY,PONDICHERRY
Ulaivaikkal,Coudapakkam B.O,605502,Villianur Commune Panchayat,PONDICHERRY,PONDICHERRY
Adingapet,Bahoor S.O,607402,Bahour Commune Panchayat,PONDICHERRY,PONDICHERRY
Chinna Karayamputhur,Bahoor S.O,607402,Bahour Commune Panchayat,PONDICHERRY,PONDICHERRY
Irulansandai,Bahoor S.O,607402,Bahour Commune Panchayat,PONDICHERRY,PONDICHERRY
Kaduvanur,Bahoor S.O,607402,Bahour Commune Panchayat,PONDICHERRY,PONDICHERRY
Koravallimedu,Bahoor S.O,607402,Bahour Commune Panchayat,PONDICHERRY,PONDICHERRY
Nirnayapet,Bahoor S.O,607402,Bahour Commune Panchayat,PONDICHERRY,PONDICHERRY
Pinnatchikuppam,Bahoor S.O,607402,Bahour Commune Panchayat,PONDICHERRY,PONDICHERRY
Poovalai,Bahoor S.O,607402,Bahour Commune Panchayat,PONDICHERRY,PONDICHERRY
Seliamedu,Seliamedu B.O,607402,Bahour Commune Panchayat,PONDICHERRY,PONDICHERRY
Aranganur,Seliamedu B.O,607402,Bahour Commune Panchayat,PONDICHERRY,PONDICHERRY
Bahour,Bahoor S.O,607402,Bahour Commune Panchayat,PONDICHERRY,PONDICHERRY
Courouvinatham,Bahoor S.O,607402,Bahour Commune Panchayat,PONDICHERRY,PONDICHERRY
Malayaperumal Agaram,Bahoor S.O,607402,Bahour Commune Panchayat,PONDICHERRY,PONDICHERRY
Outchimedu,Manapeth B.O,607402,Bahour Commune Panchayat,PONDICHERRY,PONDICHERRY
Pattaraipathi,Bahoor S.O,607402,Bahour Commune Panchayat,PONDICHERRY,PONDICHERRY
Sarkasimedu,Bahoor S.O,607402,Bahour Commune Panchayat,PONDICHERRY,PONDICHERRY
Varakalodai,Bahoor S.O,607402,Bahour Commune Panchayat,PONDICHERRY,PONDICHERRY
Bahour Commune Panchayat,Bahoor S.O,607402,Bahour Commune Panchayat,PONDICHERRY,PONDICHERRY
Kudiyiruppupalayam,Bahoor S.O,607402,Bahour Commune Panchayat,PONDICHERRY,PONDICHERRY
Kumudhanmedu,Bahoor S.O,607402,Bahour Commune Panchayat,PONDICHERRY,PONDICHERRY
Kuruvinatham,Courivinatham B.O,607402,Bahour Commune Panchayat,PONDICHERRY,PONDICHERRY
Manamedu,Bahoor S.O,607402,Bahour Commune Panchayat,PONDICHERRY,PONDICHERRY
Puthukuppam,Bahoor S.O,607402,Bahour Commune Panchayat,PONDICHERRY,PONDICHERRY
Uchimedu,Bahoor S.O,607402,Bahour Commune Panchayat,PONDICHERRY,PONDICHERRY
Vazhapattu,Bahoor S.O,607402,Bahour Commune Panchayat,PONDICHERRY,PONDICHERRY
Kaduvanur,Manamedu B.O,607402,Bahour Commune Panchayat,PONDICHERRY,PONDICHERRY
Kanniakoil,Bahoor S.O,607402,Bahour Commune Panchayat,PONDICHERRY,PONDICHERRY
Manamedu,Manamedu B.O,607402,Bahour Commune Panchayat,PONDICHERRY,PONDICHERRY
Mathikrishnapuram,Bahoor S.O,607402,Bahour Commune Panchayat,PONDICHERRY,PONDICHERRY
Moorthikuppam,Bahoor S.O,607402,Bahour Commune Panchayat,PONDICHERRY,PONDICHERRY
sulliyankuppam,Bahoor S.O,607402,Bahour Commune Panchayat,PONDICHERRY,PONDICHERRY
Melparikkampet,Bahoor S.O,607402,Bahour Commune Panchayat,PONDICHERRY,PONDICHERRY
Manapattu,Manapeth B.O,607402,Bahour Commune Panchayat,PONDICHERRY,PONDICHERRY
Narareddipalayam,Bahoor S.O,607402,Bahour Commune Panchayat,PONDICHERRY,PONDICHERRY
Perichampakkam,Bahoor S.O,607402,Bahour Commune Panchayat,PONDICHERRY,PONDICHERRY
Seliamedu,Bahoor S.O,607402,Bahour Commune Panchayat,PONDICHERRY,PONDICHERRY
Soriankuppam,Bahoor S.O,607402,Bahour Commune Panchayat,PONDICHERRY,PONDICHERRY
Arachikuppam,Bahoor S.O,607402,Bahour Commune Panchayat,PONDICHERRY,PONDICHERRY
Kilparikkalpet,Bahoor S.O,607402,Bahour Commune Panchayat,PONDICHERRY,PONDICHERRY
Manapeth,Bahoor S.O,607402,Bahour Commune Panchayat,PONDICHERRY,PONDICHERRY
Parikalpet,Bahoor S.O,607402,Bahour Commune Panchayat,PONDICHERRY,PONDICHERRY
Aranganur,Bahoor S.O,607402,Bahour Commune Panchayat,PONDICHERRY,PONDICHERRY
Irulansandy,Courivinatham B.O,607402,Bahour Commune Panchayat,PONDICHERRY,PONDICHERRY
Kattukuppam,Bahoor S.O,607402,Bahour Commune Panchayat,PONDICHERRY,PONDICHERRY
Narambai,Bahoor S.O,607402,Bahour Commune Panchayat,PONDICHERRY,PONDICHERRY
