Chidiyatapu (WLS),Bimbiton B.O,744105,Port Blair,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Nayashahar (RV),Humferygunj B.O,744105,Ferrargunj,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Pathergudda,Garacharama S.O,744105,Port Blair,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Sippighat (RV),Sippighat B.O,744105,Port Blair,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Calicut (RV),Calicut B.O,744105,Port Blair,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Dhanikhari (RV),Humferygunj B.O,744105,Ferrargunj,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Makkapahar,Calicut B.O,744105,Port Blair,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Rutland (RV),Rutland B.O,744105,Port Blair,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Bada Nallaha/Bada Balu (EFA),Bimbiton B.O,744105,Port Blair,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Beadnabad (RV),Beodnabad B.O,744105,Port Blair,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Kalapathar village,Sippighat B.O,744105,Port Blair,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Kamodnagar,Calicut B.O,744105,Port Blair,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Manglutan (EFA),Humferygunj B.O,744105,Ferrargunj,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Manglutan (RV),Humferygunj B.O,744105,Ferrargunj,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Rangachang (RV),Beodnabad B.O,744105,Port Blair,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Rangachang (RV),Bimbiton B.O,744105,Port Blair,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Garacharama Basti,Garacharama S.O,744105,Port Blair,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Lall Mati,Beodnabad B.O,744105,Port Blair,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Makkapahar,Bimbiton B.O,744105,Port Blair,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Vivekanadapur Colony,Garacharama S.O,744105,Port Blair,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Bamboo Nallaha(EFA) incl. Kichad Nallaha(EFA),Rutland B.O,744105,Port Blair,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Barood godown,Calicut B.O,744105,Port Blair,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Beodnabad RV,Beodnabad B.O,744105,Port Blair,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
