3 RES. BN. CISF,Utai Pedal B.O,491107,Durg,DURG,CHATTISGARH
Dundera,Dundera B.O,491107,Durg,DURG,CHATTISGARH
Girhadih,Khopli B.O,491107,Durg,DURG,CHATTISGARH
Newai,Newai B.O,491107,Durg,DURG,CHATTISGARH
Newai Bhatha,Purai B.O,491107,Durg,DURG,CHATTISGARH
Pahandor,Pahandor B.O,491107,Patan,DURG,CHATTISGARH
Utai,Utai S.O,491107,Durg,DURG,CHATTISGARH
Bendri,Pahandor B.O,491107,Patan,DURG,CHATTISGARH
Borigarka,Pauwara B.O,491107,Durg,DURG,CHATTISGARH
Dhaur,Selud B.O,491107,Patan,DURG,CHATTISGARH
Kargadih,Khopli B.O,491107,Durg,DURG,CHATTISGARH
Morid,Dundera B.O,491107,Durg,DURG,CHATTISGARH
Patora,Utai S.O,491107,Rajnandgaon,RAJNANDGAON,CHATTISGARH
Umarpoti,Purai B.O,491107,Durg,DURG,CHATTISGARH
Ghughsidih,Khopli B.O,491107,Durg,DURG,CHATTISGARH
Joratarai,Dundera B.O,491107,Durg,DURG,CHATTISGARH
Kokdi,Pauwara B.O,491107,Durg,DURG,CHATTISGARH
Pachpedi,Pahandor B.O,491107,Patan,DURG,CHATTISGARH
Parewadih,Dundera B.O,491107,Durg,DURG,CHATTISGARH
Utai,Utai Pedal B.O,491107,Durg,DURG,CHATTISGARH
Godpendri,Selud B.O,491107,Patan,DURG,CHATTISGARH
Kodia,Pauwara B.O,491107,Durg,DURG,CHATTISGARH
Pauwara,Pauwara B.O,491107,Durg,DURG,CHATTISGARH
Deojhar,Patora B.O,491107,Durg,DURG,CHATTISGARH
Dhaurabhatha,Fekari B.O,491107,Patan,DURG,CHATTISGARH
Katro,Khopli B.O,491107,Durg,DURG,CHATTISGARH
Purai,Purai B.O,491107,Durg,DURG,CHATTISGARH
Dumardih,Patora B.O,491107,Durg,DURG,CHATTISGARH
Kashidih,Khopli B.O,491107,Durg,DURG,CHATTISGARH
Mahka Khurd,Pahandor B.O,491107,Patan,DURG,CHATTISGARH
Selud,Selud B.O,491107,Patan,DURG,CHATTISGARH
Station Maroda,Newai B.O,491107,Durg,DURG,CHATTISGARH
Chunkatta,Selud B.O,491107,Patan,DURG,CHATTISGARH
Fekari,Fekari B.O,491107,Patan,DURG,CHATTISGARH
Khapli,Khopli B.O,491107,Durg,DURG,CHATTISGARH
Matrodih,Khopli B.O,491107,Durg,DURG,CHATTISGARH
Parsahi,Fekari B.O,491107,Patan,DURG,CHATTISGARH
Patora,Patora B.O,491107,Durg,DURG,CHATTISGARH
Somani,Pahandor B.O,491107,Patan,DURG,CHATTISGARH
Utai Pedal,Utai Pedal B.O,491107,Durg,DURG,CHATTISGARH
Virat Nagar,Patora B.O,491107,Durg,DURG,CHATTISGARH
Boridih,Pauwara B.O,491107,Durg,DURG,CHATTISGARH
Ganiyari,Pahandor B.O,491107,Patan,DURG,CHATTISGARH
Khamharia,Purai B.O,491107,Durg,DURG,CHATTISGARH
Mahka Kalan,Pahandor B.O,491107,Patan,DURG,CHATTISGARH
Mudpar,Selud B.O,491107,Patan,DURG,CHATTISGARH
RTC CISF,Utai Pedal B.O,491107,Durg,DURG,CHATTISGARH
Chhata,Devada B.O,491111,Patan,DURG,CHATTISGARH
Deeh,Sankra B.O,491111,Patan,DURG,CHATTISGARH
Jheet,Patan S.O (Durg),491111,Patan,DURG,CHATTISGARH
