Ajay Dhar,Mashobra S.O,171007,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
Bag (150),Pahal B.O,171007,Seoni(T),SHIMLA,HIMACHAL PRADESH
BAGTHAL,Mashobra S.O,171007,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
BAIHAL,Ghaini B.O,171007,Shimla Urban(T),SHIMLA,HIMACHAL PRADESH
Bauntalu (306),Baldeyan B.O,171007,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
BHARAIYA,Khatnol B.O,171007,Seoni(T),SHIMLA,HIMACHAL PRADESH
Bhaunra (163),Ghaini B.O,171007,Seoni(T),SHIMLA,HIMACHAL PRADESH
CHAILII,Ghaini B.O,171007,Shimla Urban(T),SHIMLA,HIMACHAL PRADESH
CHAKYANA,Thailla B.O,171007,Shimla Urban(T),SHIMLA,HIMACHAL PRADESH
Changan,Mashobra S.O,171007,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
Cheri (329),Kiarkoti B.O,171007,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
DHARMPUR,Kiarkoti B.O,171007,Shimla Urban(T),SHIMLA,HIMACHAL PRADESH
Fahlogi,Mashobra S.O,171007,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
Galthani (77),Thailla B.O,171007,Seoni(T),SHIMLA,HIMACHAL PRADESH
GHAAT1,Ghaini B.O,171007,Shimla Urban(T),SHIMLA,HIMACHAL PRADESH
GHAGEN,Baldeyan B.O,171007,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
GHAINI I,Ghaini B.O,171007,Shimla Urban(T),SHIMLA,HIMACHAL PRADESH
GHEERI,Mashobra S.O,171007,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
Jagog,Mashobra S.O,171007,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
JAINA,Kiarkoti B.O,171007,Shimla Urban(T),SHIMLA,HIMACHAL PRADESH
JALOGHI,Ghaini B.O,171007,Shimla Urban(T),SHIMLA,HIMACHAL PRADESH
Jangal Khatnol (79),Khatnol B.O,171007,Seoni(T),SHIMLA,HIMACHAL PRADESH
Jangal Paniyartu (265),Baldeyan B.O,171007,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
Jangal Sipur (244),Mashobra S.O,171007,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
JANLOG,Kiarkoti B.O,171007,Shimla Urban(T),SHIMLA,HIMACHAL PRADESH
JUNDU,Pahal B.O,171007,Shimla Urban(T),SHIMLA,HIMACHAL PRADESH
Kamyana (22),Kiarkoti B.O,171007,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
KANDA,Dewla B.O,171007,Shimla Urban(T),SHIMLA,HIMACHAL PRADESH
Kanda (235),Mashobra S.O,171007,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
Karyali,Mashobra S.O,171007,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
KHANABAG,Khatnol B.O,171007,Seoni(T),SHIMLA,HIMACHAL PRADESH
KHIRISER,Kiarkoti B.O,171007,Shimla Urban(T),SHIMLA,HIMACHAL PRADESH
KIARKOTI,Kiarkoti B.O,171007,Shimla Urban(T),SHIMLA,HIMACHAL PRADESH
LAMPATI II,Dewla B.O,171007,Shimla Urban(T),SHIMLA,HIMACHAL PRADESH
LATLA,Baldeyan B.O,171007,Shimla Rural(T),SHIMLA,HIMACHAL PRADESH
